TABLE_NAME,STATE_CODE,DISTRICT_CODE,TOWN_CODE,AREA_NAME,MOTHER_TONGUE_CODE,MOTHER_TONGUE_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M, RURAL_F,URBAN_P,URBAN_M, URBAN_F
C0116,28,000,000000,ANDHRA PRADESH,021999,21 Others,1204,620,584,0,0,0,1204,620,584
C0116,28,000,000000,ANDHRA PRADESH,022000,22 URDU,4999581,2540369,2459212,0,0,0,4999581,2540369,2459212
C0116,28,000,000000,ANDHRA PRADESH,022015, Urdu,4998899,2540019,2458880,0,0,0,4998899,2540019,2458880
C0116,28,000,000000,ANDHRA PRADESH,022999,22 Others,682,350,332,0,0,0,682,350,332
C0116,28,000,000000,ANDHRA PRADESH,023000,23 ADI ,45,28,17,0,0,0,45,28,17
C0116,28,000,000000,ANDHRA PRADESH,023003, Adi,32,20,12,0,0,0,32,20,12
C0116,28,000,000000,ANDHRA PRADESH,023040, Talgalo,1,0,1,0,0,0,1,0,1
C0116,28,000,000000,ANDHRA PRADESH,023999,23 Others,12,8,4,0,0,0,12,8,4
C0116,28,000,000000,ANDHRA PRADESH,024000,24 AFGHANI/KABULI/PASHTO ,14,12,2,0,0,0,14,12,2
C0116,28,000,000000,ANDHRA PRADESH,024001, Afghani/Kabuli/Pashto,10,8,2,0,0,0,10,8,2
C0116,28,000,000000,ANDHRA PRADESH,024999,24 Others,4,4,0,0,0,0,4,4,0
C0116,28,000,000000,ANDHRA PRADESH,025000,25 ANAL ,2,1,1,0,0,0,2,1,1
C0116,28,000,000000,ANDHRA PRADESH,025001, Anal,2,1,1,0,0,0,2,1,1
C0116,28,000,000000,ANDHRA PRADESH,026000,26 ANGAMI ,17,7,10,0,0,0,17,7,10
C0116,28,000,000000,ANDHRA PRADESH,026002, Angami,9,5,4,0,0,0,9,5,4
C0116,28,000,000000,ANDHRA PRADESH,026999,26 Others,8,2,6,0,0,0,8,2,6
